metadata,unique_words,total_words
org.apache.pig.backend.hadoop.executionengine.physicalLayer.plans.PatternNode.setMatch(Object),4,10
org.apache.pig.backend.hadoop.executionengine.physicalLayer.plans.PatternNode.accept(org.apache.pig.newplan.PlanVisitor),13,14
org.apache.pig.backend.hadoop.executionengine.physicalLayer.plans.PatternNode.isEqual(Operator),5,6
org.apache.pig.backend.hadoop.executionengine.physicalLayer.plans.PatternNode.toString(),3,9
"org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.PigOutputCommitter.PigOutputCommitter(TaskAttemptContext,List<POStore>,List<POStore>)",18,55
"org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.PigOutputCommitter.getCommitters(TaskAttemptContext,List<POStore>)",18,62
"org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.PigOutputCommitter.setUpContext(TaskAttemptContext,POStore)",29,74
"org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.PigOutputCommitter.setUpContext(JobContext,POStore)",31,73
"org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.PigOutputCommitter.storeCleanup(POStore,Configuration)",14,41
org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.PigOutputCommitter.isRecoverySupported(),20,104
org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.PigOutputCommitter.recoverTask(TaskAttemptContext),22,105
org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.PigOutputCommitter.cleanupJob(JobContext),16,77
org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.PigOutputCommitter.commitJob(JobContext),26,122
"org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.PigOutputCommitter.abortJob(JobContext,State)",21,106
org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.PigOutputCommitter.abortTask(TaskAttemptContext),16,67
org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.PigOutputCommitter.commitTask(TaskAttemptContext),16,67
org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.PigOutputCommitter.needsTaskCommit(TaskAttemptContext),16,74
org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.PigOutputCommitter.setupJob(JobContext),14,63
org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.PigOutputCommitter.setupTask(TaskAttemptContext),16,67
org.apache.pig.backend.hadoop.executionengine.physicalLayer.relationalOperators.POPackage.POPackage(OperatorKey),2,2
"org.apache.pig.backend.hadoop.executionengine.physicalLayer.relationalOperators.POPackage.POPackage(OperatorKey,int)",2,2
"org.apache.pig.backend.hadoop.executionengine.physicalLayer.relationalOperators.POPackage.POPackage(OperatorKey,List<PhysicalOperator>)",5,7
"org.apache.pig.backend.hadoop.executionengine.physicalLayer.relationalOperators.POPackage.POPackage(OperatorKey,int,List<PhysicalOperator>)",6,8
"org.apache.pig.backend.hadoop.executionengine.physicalLayer.relationalOperators.POPackage.POPackage(OperatorKey,int,List<PhysicalOperator>,Packager)",9,13
org.apache.pig.backend.hadoop.executionengine.physicalLayer.relationalOperators.POPackage.POPackage(POPackage),6,17
org.apache.pig.backend.hadoop.executionengine.physicalLayer.relationalOperators.POPackage.setIllustrator(Illustrator),3,11
org.apache.pig.backend.hadoop.executionengine.physicalLayer.relationalOperators.POPackage.name(),8,21
org.apache.pig.backend.hadoop.executionengine.physicalLayer.relationalOperators.POPackage.supportsMultipleInputs(),3,3
org.apache.pig.backend.hadoop.executionengine.physicalLayer.relationalOperators.POPackage.visit(PhyPlanVisitor),5,7
org.apache.pig.backend.hadoop.executionengine.physicalLayer.relationalOperators.POPackage.supportsMultipleOutputs(),3,3
"org.apache.pig.backend.hadoop.executionengine.physicalLayer.relationalOperators.POPackage.attachInput(PigNullableWritable,Iterator<NullableTuple>)",30,43
org.apache.pig.backend.hadoop.executionengine.physicalLayer.relationalOperators.POPackage.detachInput(),6,7
org.apache.pig.backend.hadoop.executionengine.physicalLayer.relationalOperators.POPackage.getNumInps(),3,4
org.apache.pig.backend.hadoop.executionengine.physicalLayer.relationalOperators.POPackage.setNumInps(int),5,15
org.apache.pig.backend.hadoop.executionengine.physicalLayer.relationalOperators.POPackage.getNextTuple(),99,251
org.apache.pig.backend.hadoop.executionengine.physicalLayer.relationalOperators.POPackage.getPkgr(),2,3
org.apache.pig.backend.hadoop.executionengine.physicalLayer.relationalOperators.POPackage.setPkgr(Packager),5,13
org.apache.pig.backend.hadoop.executionengine.physicalLayer.relationalOperators.POPackage.clone(),16,39
"org.apache.pig.backend.hadoop.executionengine.physicalLayer.relationalOperators.POPackage.POPackageTupleBuffer.POPackageTupleBuffer(int,Object,Iterator<NullableTuple>)",15,31
org.apache.pig.backend.hadoop.executionengine.physicalLayer.relationalOperators.POPackage.POPackageTupleBuffer.hasNextBatch(),2,2
org.apache.pig.backend.hadoop.executionengine.physicalLayer.relationalOperators.POPackage.POPackageTupleBuffer.nextBatch(),27,47
org.apache.pig.backend.hadoop.executionengine.physicalLayer.relationalOperators.POPackage.POPackageTupleBuffer.clear(),3,4
org.apache.pig.backend.hadoop.executionengine.physicalLayer.relationalOperators.POPackage.POPackageTupleBuffer.getTuples(int),5,7
"org.apache.pig.backend.hadoop.executionengine.physicalLayer.relationalOperators.POPackage.POPackageTupleBuffer.illustratorMarkup(Object,Object,int)",5,9
"org.apache.pig.backend.hadoop.executionengine.physicalLayer.relationalOperators.POPackage.illustratorMarkup(Object,Object,int)",6,10
org.apache.pig.backend.hadoop.executionengine.physicalLayer.relationalOperators.POPackage.numberOfEquivalenceClasses(),3,5
"org.apache.pig.backend.hadoop.executionengine.physicalLayer.relationalOperators.POPackage.PeekedBag.PeekedBag(Packager,NullableTuple,Iterator<NullableTuple>,PigNullableWritable)",14,27
org.apache.pig.backend.hadoop.executionengine.physicalLayer.relationalOperators.POPackage.PeekedBag.iterator(),5,10
org.apache.pig.backend.hadoop.executionengine.physicalLayer.relationalOperators.POPackage.PeekedBag.iterator().$1.hasNext(),4,4
org.apache.pig.backend.hadoop.executionengine.physicalLayer.relationalOperators.POPackage.PeekedBag.iterator().$1.next(),22,52
org.apache.pig.backend.hadoop.executionengine.physicalLayer.relationalOperators.POPackage.PeekedBag.iterator().$1.remove(),8,8
org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.MapReduceOper.MapReduceOper(OperatorKey),18,39
"org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.MapReduceOper.shiftStringByTabs(String,String)",11,28
org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.MapReduceOper.name(),25,73
org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.MapReduceOper.getUDFsAsStr(),9,18
org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.MapReduceOper.supportsMultipleInputs(),3,3
org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.MapReduceOper.supportsMultipleOutputs(),3,3
org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.MapReduceOper.visit(MROpPlanVisitor),4,6
org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.MapReduceOper.isMapDone(),1,2
org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.MapReduceOper.setMapDone(boolean),2,5
org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.MapReduceOper.setMapDoneSingle(boolean),10,18
org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.MapReduceOper.setMapDoneMultiple(boolean),10,18
org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.MapReduceOper.getUnion(),6,9
org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.MapReduceOper.isReduceDone(),1,2
org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.MapReduceOper.setReduceDone(boolean),2,5
org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.MapReduceOper.isGlobalSort(),2,4
org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.MapReduceOper.isSkewedJoin(),4,6
org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.MapReduceOper.setSkewedJoinPartitionFile(String),6,12
org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.MapReduceOper.getSkewedJoinPartitionFile(),5,9
org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.MapReduceOper.setSkewedJoin(boolean),3,7
org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.MapReduceOper.getSkewedJoin(),2,4
org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.MapReduceOper.setGlobalSort(boolean),3,9
org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.MapReduceOper.isLimitAfterSort(),2,4
org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.MapReduceOper.setLimitAfterSort(boolean),4,7
org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.MapReduceOper.isLimitOnly(),1,2
org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.MapReduceOper.setLimitOnly(boolean),2,5
org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.MapReduceOper.isIndexer(),3,5
org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.MapReduceOper.markIndexer(),4,6
org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.MapReduceOper.isSampler(),3,5
org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.MapReduceOper.markSampler(),4,6
org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.MapReduceOper.isGroupBy(),3,4
org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.MapReduceOper.markGroupBy(),4,5
org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.MapReduceOper.isCogroup(),3,5
org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.MapReduceOper.markCogroup(),4,6
