sha,change_type,name,additions,removals,context,message
b10cc50cc7405716d172602b37c833525583b06b,M,tika-parsers/pom.xml,1,1,6,4
edd4ba51e6341236a78f4d16798a91fb67227f4b,M,tika-core/src/main/java/org/apache/tika/mime/MimeTypesFactory.java,12,0,12,6
2a405d3e28775ac789e2ab3a873cd302d332f722,M,src/main/java/org/apache/tika/parser/asm/XHTMLClassVisitor.java,2,0,12,6
ecce97c5f5a4e238995c4161d10edcc0f461de43,M,tika-parsers/src/test/java/org/apache/tika/parser/mat/MatParserTest.java,13,20,43,4
1e2373c719f24de4c92ec075350cfbe3c3838a71,M,pom.xml,0,2,6,4
7be56f7632413877222c353753915a1196673dad,M,README.txt,3,1,6,4
7be56f7632413877222c353753915a1196673dad,M,src/site/apt/gettingstarted.apt,1,1,6,4
815c45e1b9e40074dfb5520599296f6595102684,M,tika-parsers/pom.xml,1,1,6,4
815c45e1b9e40074dfb5520599296f6595102684,M,tika-parsers/src/main/java/org/apache/tika/parser/pdf/PDF2XHTML.java,10,15,41,4
815c45e1b9e40074dfb5520599296f6595102684,M,tika-parsers/src/main/java/org/apache/tika/parser/pdf/PDFParser.java,3,2,8,4
815c45e1b9e40074dfb5520599296f6595102684,M,tika-parsers/src/test/java/org/apache/tika/parser/pdf/PDFParserTest.java,23,69,40,4
da0351d361d5c0b99dbae634076abb054b5e5062,M,tika-core/src/main/java/org/apache/tika/sax/XHTMLContentHandler.java,1,1,6,4
da0351d361d5c0b99dbae634076abb054b5e5062,M,tika-core/src/test/java/org/apache/tika/sax/XHTMLContentHandlerTest.java,58,0,11,4
28f00354e6a324aa7895e2a371a20d98c22ac630,M,tika-core/src/main/java/org/apache/tika/fork/ForkClient.java,17,14,61,6
28f00354e6a324aa7895e2a371a20d98c22ac630,M,tika-core/src/main/java/org/apache/tika/fork/ForkObjectInputStream.java,46,0,13,6
28f00354e6a324aa7895e2a371a20d98c22ac630,M,tika-core/src/main/java/org/apache/tika/fork/ForkParser.java,12,1,6,6
28f00354e6a324aa7895e2a371a20d98c22ac630,M,tika-core/src/main/java/org/apache/tika/fork/ForkServer.java,22,17,33,6
29bce92ec9fccbf54c9c1dae3398c8d247133a01,M,tika-server/src/test/java/org/apache/tika/server/TikaWelcomeTest.java,21,0,6,4
f21a6fd1a4de0f74676fc8475874e7e59f23e28a,A,tika-core/src/main/java/org/apache/tika/detect/XmlRootExtractor.java,67,0,0,6
f21a6fd1a4de0f74676fc8475874e7e59f23e28a,M,tika-core/src/main/java/org/apache/tika/mime/MimeType.java,31,5,41,6
f21a6fd1a4de0f74676fc8475874e7e59f23e28a,M,tika-core/src/main/java/org/apache/tika/mime/MimeTypes.java,37,13,79,6
f21a6fd1a4de0f74676fc8475874e7e59f23e28a,M,tika-core/src/main/resources/mime/tika-mimetypes.xml,18,10,39,6
f21a6fd1a4de0f74676fc8475874e7e59f23e28a,A,tika-core/src/test/java/org/apache/tika/mime/MimeDetectionTest.java,56,0,0,6
f21a6fd1a4de0f74676fc8475874e7e59f23e28a,A,tika-core/src/test/resources/org/apache/tika/mime/circles-with-prefix.svg,8,0,0,6
f21a6fd1a4de0f74676fc8475874e7e59f23e28a,A,tika-core/src/test/resources/org/apache/tika/mime/circles.svg,8,0,0,6
f21a6fd1a4de0f74676fc8475874e7e59f23e28a,A,tika-core/src/test/resources/org/apache/tika/mime/datamatrix.png,0,0,0,6
f21a6fd1a4de0f74676fc8475874e7e59f23e28a,A,tika-core/src/test/resources/org/apache/tika/mime/stylesheet.xsl,9,0,0,6
f21a6fd1a4de0f74676fc8475874e7e59f23e28a,A,tika-core/src/test/resources/org/apache/tika/mime/test-iso-8859-1.xml,2,0,0,6
f21a6fd1a4de0f74676fc8475874e7e59f23e28a,A,tika-core/src/test/resources/org/apache/tika/mime/test-long-comment.xml,21,0,0,6
f21a6fd1a4de0f74676fc8475874e7e59f23e28a,A,tika-core/src/test/resources/org/apache/tika/mime/test-utf16be.xml,0,0,0,6
f21a6fd1a4de0f74676fc8475874e7e59f23e28a,A,tika-core/src/test/resources/org/apache/tika/mime/test-utf16le.xml,0,0,0,6
f21a6fd1a4de0f74676fc8475874e7e59f23e28a,A,tika-core/src/test/resources/org/apache/tika/mime/test-utf8.xml,2,0,0,6
f21a6fd1a4de0f74676fc8475874e7e59f23e28a,A,tika-core/src/test/resources/org/apache/tika/mime/test.html,10,0,0,6
6dfc32d37c261300ebd0fcd83d4c64e217e2f7a0,M,tika-core/src/main/java/org/apache/tika/metadata/TikaCoreProperties.java,56,30,20,4
cfe3527af83d582d12a43a6f42ff30bd2d15a379,M,CHANGES.txt,3,0,3,4
cfe3527af83d582d12a43a6f42ff30bd2d15a379,M,src/main/java/org/apache/tika/exception/TikaException.java,4,0,4,4
cfe3527af83d582d12a43a6f42ff30bd2d15a379,M,src/main/java/org/apache/tika/parser/Parser.java,53,5,34,4
cfe3527af83d582d12a43a6f42ff30bd2d15a379,M,src/main/java/org/apache/tika/parser/html/HtmlParser.java,13,50,29,4
cfe3527af83d582d12a43a6f42ff30bd2d15a379,M,src/main/java/org/apache/tika/parser/msexcel/MsExcelParser.java,11,46,16,4
cfe3527af83d582d12a43a6f42ff30bd2d15a379,M,src/main/java/org/apache/tika/parser/mspowerpoint/MsPowerPointParser.java,13,47,16,4
cfe3527af83d582d12a43a6f42ff30bd2d15a379,M,src/main/java/org/apache/tika/parser/msword/MsWordParser.java,11,48,16,4
cfe3527af83d582d12a43a6f42ff30bd2d15a379,M,src/main/java/org/apache/tika/parser/opendocument/OpenOfficeParser.java,10,35,38,4
cfe3527af83d582d12a43a6f42ff30bd2d15a379,M,src/main/java/org/apache/tika/parser/pdf/PDFParser.java,43,128,31,4
cfe3527af83d582d12a43a6f42ff30bd2d15a379,M,src/main/java/org/apache/tika/parser/rtf/RTFParser.java,12,48,19,4
cfe3527af83d582d12a43a6f42ff30bd2d15a379,M,src/main/java/org/apache/tika/parser/txt/TXTParser.java,11,60,18,4
cfe3527af83d582d12a43a6f42ff30bd2d15a379,M,src/main/java/org/apache/tika/parser/xml/XMLParser.java,13,37,29,4
cfe3527af83d582d12a43a6f42ff30bd2d15a379,M,src/main/java/org/apache/tika/utils/MSExtractor.java,3,4,23,4
cfe3527af83d582d12a43a6f42ff30bd2d15a379,M,src/main/java/org/apache/tika/utils/ParseUtils.java,1,3,5,4
cfe3527af83d582d12a43a6f42ff30bd2d15a379,M,src/test/java/org/apache/tika/TestParsers.java,0,1,6,4
11476e2be37bfb25d886a41690aa80bbb406bb27,M,tika-parsers/src/main/java/org/apache/tika/parser/txt/CharsetDetector.java,34,10,64,6
11476e2be37bfb25d886a41690aa80bbb406bb27,M,tika-parsers/src/main/java/org/apache/tika/parser/txt/CharsetMatch.java,3,3,16,6
11476e2be37bfb25d886a41690aa80bbb406bb27,M,tika-parsers/src/main/java/org/apache/tika/parser/txt/TXTParser.java,9,3,19,6
11476e2be37bfb25d886a41690aa80bbb406bb27,M,tika-parsers/src/test/java/org/apache/tika/parser/txt/TXTParserTest.java,32,4,36,6
e70bf2c143d7ce47c5ec4c926d4ae1aa5d565e41,M,tika-core/src/main/java/org/apache/tika/extractor/ParserContainerExtractor.java,9,4,18,12
e70bf2c143d7ce47c5ec4c926d4ae1aa5d565e41,M,tika-core/src/main/java/org/apache/tika/extractor/ParsingEmbeddedDocumentExtractor.java,3,3,18,12
e70bf2c143d7ce47c5ec4c926d4ae1aa5d565e41,M,tika-core/src/main/java/org/apache/tika/io/TemporaryFiles.java,9,14,10,12
e70bf2c143d7ce47c5ec4c926d4ae1aa5d565e41,A,tika-core/src/main/java/org/apache/tika/io/TemporaryResources.java,156,0,0,12
e70bf2c143d7ce47c5ec4c926d4ae1aa5d565e41,M,tika-core/src/main/java/org/apache/tika/io/TikaInputStream.java,90,100,128,12
e70bf2c143d7ce47c5ec4c926d4ae1aa5d565e41,M,tika-core/src/main/java/org/apache/tika/parser/AutoDetectParser.java,2,2,12,12
e70bf2c143d7ce47c5ec4c926d4ae1aa5d565e41,M,tika-core/src/main/java/org/apache/tika/parser/CompositeParser.java,2,2,12,12
e70bf2c143d7ce47c5ec4c926d4ae1aa5d565e41,M,tika-core/src/main/java/org/apache/tika/parser/NetworkParser.java,2,2,12,12
e70bf2c143d7ce47c5ec4c926d4ae1aa5d565e41,M,tika-core/src/main/java/org/apache/tika/parser/external/ExternalParser.java,3,4,12,12
e70bf2c143d7ce47c5ec4c926d4ae1aa5d565e41,M,tika-parsers/src/main/java/org/apache/tika/parser/jpeg/JpegParser.java,2,3,18,12
e70bf2c143d7ce47c5ec4c926d4ae1aa5d565e41,M,tika-parsers/src/main/java/org/apache/tika/parser/microsoft/OfficeParser.java,7,7,6,12
